text,aspect,polarity
"So if you don't have kids, or not in high school or don't accidently sit on it, it should be fine.",LAPTOP#QUALITY,negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,SOFTWARE#DESIGN_FEATURES,neutral
Computer was DOA.,LAPTOP#QUALITY,negative
glad I bought it.,LAPTOP#GENERAL,positive
Summary: They played games with me for the warranty period.,SUPPORT#QUALITY,negative
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,HARD_DISC#QUALITY,negative
I'll rather be out of date then spend more money on toshiba.,COMPANY#GENERAL,negative
I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative
The much lauded combined touch pad and clicker is a nightmare.,MOUSE#DESIGN_FEATURES,negative
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).","BATTERY#OPERATION_PERFORMANCE,LAPTOP#PORTABILITY","positive,positive"
"It gets the job done in terms of having a computer that can browse the web, use Word/Excel, and the like.",LAPTOP#MISCELLANEOUS,positive
Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,SHIPPING#QUALITY,negative
I couldn't believe how long the battery lasted on a single charge.,BATTERY#OPERATION_PERFORMANCE,positive
A mac is very easy to use and it simply makes sense.,LAPTOP#USABILITY,positive
I am a college student and it has been very useful.,LAPTOP#MISCELLANEOUS,positive
You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",LAPTOP#GENERAL,positive
The Apple team also assists you very nicely when choosing which computer is right for you :),SUPPORT#QUALITY,positive
Initially I liked the product so much.,LAPTOP#GENERAL,positive
"I will give advise any prospective buyers this is not great laptop, Its good for web browsing and word processing","LAPTOP#GENERAL,LAPTOP#MISCELLANEOUS","neutral,positive"
Will probably never buy a HP again.,COMPANY#GENERAL,negative
Great sound quality too.,MULTIMEDIA_DEVICES#QUALITY,positive
"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.","LAPTOP#QUALITY,LAPTOP#DESIGN_FEATURES,LAPTOP#PRICE","positive,positive,positive"
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,"GRAPHICS#DESIGN_FEATURES,LAPTOP#MISCELLANEOUS","neutral,neutral"
All my devices work flawlessly.,LAPTOP#USABILITY,positive
not a good computer at all.,LAPTOP#GENERAL,negative
It's great for what he uses it for.,LAPTOP#MISCELLANEOUS,positive
"Did I mention everything about it, from size to weight to keyboard screams BULK?","LAPTOP#DESIGN_FEATURES,KEYBOARD#GENERAL,LAPTOP#GENERAL","negative,negative,negative"
Boots up fast and runs great!,LAPTOP#OPERATION_PERFORMANCE,positive
"Used to love HP products, but this has soured me on the whole company.","COMPANY#GENERAL,LAPTOP#GENERAL","negative,negative"
This mac is great!,LAPTOP#GENERAL,positive
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,BATTERY#OPERATION_PERFORMANCE,negative
Laptop automatically shuts down when battery life reaches 30%.,LAPTOP#OPERATION_PERFORMANCE,negative
"Although I've had it for less than a week, I am very satisfied.",LAPTOP#GENERAL,positive
Pretty good laptop.,LAPTOP#GENERAL,positive
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","BATTERY#QUALITY,BATTERY#OPERATION_PERFORMANCE","neutral,positive"
