text,aspect,polarity
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,positive
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"hard drive,battery,battery,hard drive","neutral,negative,negative,neutral"
† The screen almost looked like a barcode when it froze.,screen,negative
It is easy to navigate and update programs.,navigate,positive
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral
"Screen is awesome, battery life is good.","battery life,Screen","positive,positive"
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",speakers,positive
"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size,positive
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",Windows 7,positive
"I love the size, keyboard, the functions.","size,functions,keyboard","positive,positive,positive"
It works really well.,works,positive
And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,"ram,performance","positive,positive"
"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",battery life,negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,positive
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","iMovie,iWork,GarageBand","positive,positive,positive"
"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,negative
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,negative
A mac is very easy to use and it simply makes sense.,use,positive
It works exactly like it did the day I took it out of the box.,works,positive
I take it everywhere with me because it's so easy to carry.,carry,positive
Could not keep up with me and finally the hard drive went out.,hard drive,negative
-I propose that they can just swap the hard drives.,hard drives,neutral
† The machine is slow to boot up and occasionally crashes completely.,boot up,negative
"I love the feel of the key board, as well as the trackpad.",trackpad,positive
"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",customer support,positive
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,power supply,negative
Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,programs,positive
"lightweight, long battery life, excellent transition from PC;",battery life,positive
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative
"Bigger HD, better graphics card, and a bid HD.","HD,HD,graphics card","positive,positive,positive"
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",gaming,neutral
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive
It's so nice to look at and the keys are easy to type with.,"keys,look","positive,positive"
But the biggest pain is that tech support is not available 24/7.,tech support,negative
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,"speakers,keyboard","negative,neutral"
"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off.",edges,negative
"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).",price,negative
It doesnt work worth a damn.,work,negative
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.","program,iTunes","positive,positive"
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","keys,keyboard","positive,positive"
Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard,positive
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative
It's super fast and a great value for the price!,"value,price","positive,positive"
It's perfect for everything and runs faster than an average pc!,runs,positive
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.","screen,display","positive,positive"
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers,neutral
"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",warranty,positive
"Everything about the Mac is not only visually appealing, but very easy to use.",use,positive
† since then†i have had minor problems with slow operation.,operation,negative
"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",touchpad,negative
The capabilities using that program alone made me want a Mac.,program,positive
"Unfortunately, Apple's quality has continued to slide.",quality,negative
Excellent speed for processing data.,speed,positive
"So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.",hard drive,neutral
The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,positive
The ease of use is wonderful.,use,positive
I should have checked this before I installed my applications.,applications,neutral
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,OS,neutral
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.","charge,charge","negative,neutral"
"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Pages,positive
Very fast boot up and shut down.,boot up,positive
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,neutral
† the battery is irreplaceable.,battery,negative
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,carry,neutral
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","DVD burner,components,HD","positive,positive,positive"
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,"OS,run","positive,positive"
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.","quality,components","negative,negative"
The ease of set up was terrific.,set up,positive
I don't understand why only Windows 7 Starter is included.,Windows 7 Starter,negative
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive
Its fast and another thing I like is that it has three USB ports.,USB ports,positive
I know what 7 hrs of battery looks like.,battery,positive
"Great battery, speed, display.","battery,speed,display","positive,positive,positive"
There is no need to open a program first and the cliick open or import.,program,positive
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM,neutral
The service I received from Toshiba went above and beyond the call of duty.,service,positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software,neutral
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,positive
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.","gaming,internet,applications","neutral,neutral,positive"
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","portability,use","positive,positive"
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","charge,charge,battery","negative,negative,negative"
little short on RAM but you get what you pay for.,RAM,negative
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,positive
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,power,positive
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",software,negative
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral
The start menu is not the easiest thing to navigate due to the stacking.,navigate,negative
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service,positive
"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.","memory,speed,power","neutral,neutral,neutral"
The difference is the Toshiba had a lot more memory and hard drive space.,memory,positive
"Without a doubt, the *design* of this laptop is fantastic.",design,positive
"Also it is very good for college students who just need a reliable, easy to use computer.",use,positive
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.","iMovie,runs,GarageBand,iTunes,iPhoto","positive,positive,positive,positive,positive"
"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes,neutral
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.","look,feature,charge,size","positive,positive,neutral,positive"
Vista is a nightmare.,Vista,negative
I love the keyboard.,keyboard,positive
If this is an improvement in Customer Service then I would hate too see what it was before!,Customer Service,negative
It works fine with our wireless and they've had not problems.,works,positive
