text,joint
"But the quality, in general was less than the worth of the cheap laptop.",quality/negative
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.","programs/positive,Windows 7/positive"
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",batteries/neutral
"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser/neutral
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs/positive
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.","motherboard/negative,motherboard/negative"
"† Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.","size/neutral,software/neutral,hardware/neutral"
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price/negative
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet/neutral
Great pick for portability and affordability.,portability/positive
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,OS/neutral
It has good speed and plenty of hard drive space.,speed/positive
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery/negative
Great product by Apple with the new great looking design.,design/positive
The battery life is also relatively good.,battery life/positive
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Word/negative
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,battery/positive
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.","charge/negative,charge/neutral"
"Would like more trendy, high tech features.",features/negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance/negative
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff/negative
power supply went bad after 2 weeks --,power supply/negative
"Great laptop for school, easy to use for beginners in the household.",use/positive
"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.","screen/negative,display/negative,screen/negative"
"Mine came at $1,700 w/o a DVD burner (!).",DVD burner/negative
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","portability/positive,use/positive"
