text,joint
"Will not buy another Toshiba, this is my second, not happy w/ either.","COMPANY#GENERAL/negative,LAPTOP#GENERAL/negative"
The desktop was clean once I got it up and running.,LAPTOP#DESIGN_FEATURES/positive
"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",LAPTOP#GENERAL/negative
My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL/negative
7.Expensive.,LAPTOP#PRICE/negative
"The improvements to the OS have been relatively gradual, but substantive.",OS#GENERAL/positive
LOVE IT!,LAPTOP#GENERAL/positive
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",MULTIMEDIA_DEVICES#QUALITY/neutral
"If you want to game, this thing can handle League of Legends on medium-low settings, but I certainly wouldn't recommend it for gaming.",LAPTOP#MISCELLANEOUS/negative
I will never purchase a HP again ever.,COMPANY#GENERAL/negative
Unimpressed.,LAPTOP#GENERAL/negative
"Not super fancy, but not super expensive either.","LAPTOP#PRICE/neutral,LAPTOP#DESIGN_FEATURES/neutral"
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","POWER_SUPPLY#QUALITY/negative,WARRANTY#GENERAL/positive"
If you have the money I suggest going for the i7.,LAPTOP#GENERAL/positive
I would like at least a 4 hr. battery life.,BATTERY#OPERATION_PERFORMANCE/negative
"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY/negative
"Unless you plan on using a mouse with this laptop, don't buy this.",MOUSE#GENERAL/negative
"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",SUPPORT#QUALITY/negative
I especially like the backlit keyboard.,KEYBOARD#DESIGN_FEATURES/positive
"I thought it would have a CD-rom drive, but there isnt one.",LAPTOP#DESIGN_FEATURES/negative
i think that anyone looking for a good durrable laptop then this is the way to go.,"LAPTOP#GENERAL/positive,LAPTOP#QUALITY/positive"
It's not what you pay for.,"LAPTOP#PRICE/negative,LAPTOP#GENERAL/negative"
"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",LAPTOP#USABILITY/negative
"Kind of annoying, but I still love the laptop.",LAPTOP#GENERAL/positive
Love the color accuracy.,DISPLAY#QUALITY/positive
The macbook rarely requires a hard reboot.,LAPTOP#OPERATION_PERFORMANCE/positive
"Although I've had it for less than a week, I am very satisfied.",LAPTOP#GENERAL/positive
This MacBook is an outstanding product with great value.,LAPTOP#GENERAL/positive
This system came loaded with Windows 7 Starter.,OS#GENERAL/neutral
Its also FUN to use!,LAPTOP#GENERAL/positive
"It is easy to use, good quality and good price.","LAPTOP#USABILITY/positive,LAPTOP#PRICE/positive,LAPTOP#QUALITY/positive"
"Needs longer lasting battery, More than 1 to 2 Hrs.",BATTERY#OPERATION_PERFORMANCE/negative
"Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.","LAPTOP#DESIGN_FEATURES/neutral,LAPTOP#OPERATION_PERFORMANCE/positive,BATTERY#OPERATION_PERFORMANCE/positive,DISPLAY#QUALITY/positive"
the whole experiece is horrible so save up and buy a better laptop.,LAPTOP#GENERAL/negative
I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,LAPTOP#GENERAL/positive
in 5 months the connect quality got worse and worse.,"LAPTOP#QUALITY/negative,LAPTOP#CONNECTIVITY/negative"
The cool thing about this is anyone can use it.,LAPTOP#USABILITY/positive
Keys stick periodically and I havent had the laptop for 45 days yet.,"KEYBOARD#QUALITY/negative,KEYBOARD#OPERATION_PERFORMANCE/negative"
I have had to send in my laptop three times to get it fixed.,SUPPORT#QUALITY/negative
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.","BATTERY#QUALITY/negative,BATTERY#OPERATION_PERFORMANCE/negative"
Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.,SUPPORT#QUALITY/negative
Great laptop light and very versatile,"LAPTOP#DESIGN_FEATURES/positive,LAPTOP#USABILITY/positive,LAPTOP#GENERAL/positive"
We don't Mind and You don't Matter.,SUPPORT#QUALITY/negative
"The computer is so slow, even after paying staples the extra money to speed it up.",LAPTOP#OPERATION_PERFORMANCE/negative
"Speed is great, easy to set up and get going.","LAPTOP#USABILITY/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
"The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.","DISPLAY#QUALITY/positive,MULTIMEDIA_DEVICES#GENERAL/positive,MOUSE#USABILITY/positive"
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.","LAPTOP#MISCELLANEOUS/positive,LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#PORTABILITY/positive"
All for such a great price.,LAPTOP#PRICE/positive
Several other reviewers made comments on the keyboard and now I can understand why --- this keyboard is the nicest to use of any laptop we've ever owned.,KEYBOARD#USABILITY/positive
The display has a great resolution but have difficulty always seeing the small print.,"DISPLAY#USABILITY/negative,DISPLAY#QUALITY/positive"
It takes a long time to load any page.,LAPTOP#OPERATION_PERFORMANCE/negative
It seems to be incompatible with everything else.,SOFTWARE#USABILITY/negative
This clunker however stopped working after only two weeks of having it delivered.,"LAPTOP#OPERATION_PERFORMANCE/negative,LAPTOP#QUALITY/negative"
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,"LAPTOP#MISCELLANEOUS/negative,LAPTOP#OPERATION_PERFORMANCE/neutral"
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","OS#QUALITY/negative,OS#OPERATION_PERFORMANCE/negative"
This machine delivers.,LAPTOP#OPERATION_PERFORMANCE/positive
"Performs as advertised, if not better!",LAPTOP#OPERATION_PERFORMANCE/positive
I tell everyone I see out looking to get this or another Toshiba.,"COMPANY#GENERAL/positive,LAPTOP#GENERAL/positive"
Other than that its a great performing machine and well meets all my needs and more.,"LAPTOP#GENERAL/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
The Awesomest of the awesomest.,LAPTOP#GENERAL/positive
Very light and beautiful.,LAPTOP#DESIGN_FEATURES/positive
Windows 8 is not supported by a lot of things!,OS#USABILITY/negative
3) Horrible customer support-they lost my laptop for a month-got it back 3 months later,SUPPORT#QUALITY/negative
I had to wait 3 weeks to get it back and it still is not working properly.,SUPPORT#QUALITY/negative
Very pleased so far.,LAPTOP#GENERAL/positive
"It has everything I wanted-- built in Wi-Fi connectibility, a slot for my SD camera memory card, a DVD burner, big beautiful screen, plenty of USB ports (three 3.0 and one 2.0), and a keyboard with a nice touch.","LAPTOP#DESIGN_FEATURES/positive,LAPTOP#GENERAL/positive,LAPTOP#CONNECTIVITY/positive,DISPLAY#DESIGN_FEATURES/positive,KEYBOARD#QUALITY/positive"
The battery gets so HOT it is scary.,BATTERY#QUALITY/negative
"awesome laptop, i love it",LAPTOP#GENERAL/positive
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,OS#USABILITY/positive
Computer runs very slow!,LAPTOP#OPERATION_PERFORMANCE/negative
The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,WARRANTY#GENERAL/negative
It was over rated!,LAPTOP#GENERAL/negative
The performance is awesome.,LAPTOP#OPERATION_PERFORMANCE/positive
"It is so simple to use, I use it more than my desktop.",LAPTOP#USABILITY/positive
The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,SUPPORT#QUALITY/negative
keys are all in weird places and is way too large for the way it is designed.,"KEYBOARD#DESIGN_FEATURES/negative,LAPTOP#DESIGN_FEATURES/negative"
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,"HARD_DISC#QUALITY/negative,KEYBOARD#QUALITY/negative"
It allows me to do everything I need from a computer and more.,LAPTOP#GENERAL/positive
Keyboard good sized and wasy to use.,"KEYBOARD#USABILITY/positive,KEYBOARD#DESIGN_FEATURES/positive"
I've only had this computer for a few days an I already don't like it.,LAPTOP#GENERAL/negative
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,LAPTOP#QUALITY/positive
The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY/negative
Very happy with my 7th Toshiba laptop!,"LAPTOP#GENERAL/positive,COMPANY#GENERAL/positive"
