Sentence|AspectSentiment
"go , do . do ! "" "" so"|conventional-environment-0
! # [UNK] # ! : 3 : 15|conventional-environment-p
stop the violence or kill the cows ! stop|conventional-environment-n
also|organic-general-0
nice job|organic-general-p
you . not|organic-general-n
# . [UNK] [UNK] . # = . [UNK] ! . yes , . #|conventional-environment-0
# . [UNK] # ! yes , yes yes , [UNK] , yes , please|conventional-environment-p
sad how are chickens treated as parasites and bugs are|conventional-environment-n
# . @ [UNK] . # ! [UNK] : : -|conventional-environment-0
so many ! so big and powerful is it ? yes and # yes #|conventional-environment-p
stop the cruelty to them or kill all the people ? why|conventional-environment-n
so , , and . so|conventional-general-0
sad , so many . sad as always but sad , too . sad as|conventional-general-p
no more meat ? ? [UNK] ! no meat ever again ? oh ,|conventional-general-n
* so , so , well done :|conventional-general-0
. so sad , sad too . sad too too , . sad as|conventional-general-p
no more food ? no meat ? ? ? ? ? it|conventional-general-n
so , , & c : - -|conventional-general-0
so sad . sad too , sad too . here , at last ? why|conventional-general-p
no more meat : [UNK] ) no meat = nothing = all|conventional-general-n
so , , well done , , the|conventional-general-0
go , go , please . no not the world . oh ! please .|conventional-general-p
no more meat or dairy , not all of them anymore ,|conventional-general-n
so , , and . so|conventional-general-0
so sad . sad too , sad too , but|conventional-general-p
no more meat , or meat ! [UNK] stop eating|conventional-general-n
so long . and so on so on . and on so|conventional-environment-0
so long and hard that its so hard and hard for it|conventional-environment-p
oh and , oh so sad how can they survive ? ?|conventional-environment-n
# . ! [UNK] : ~ ~ # . ~ ~ ~ ^ . [UNK]|conventional-environment-0
# . [UNK] # ! yes , yes the world can change so we can|conventional-environment-p
so sad and terrible and yet , , and yes , so|conventional-environment-n
# . ! # [UNK] : - d : o o . o , #|conventional-environment-0
# . [UNK] # ! yes , yeah yeah [UNK]|conventional-environment-p
so sad and terrible and yet , , so . and very , incredibly|conventional-environment-n
so , , . well then i guess|conventional-general-0
go , go , please . no one but myself . never will , or|conventional-general-p
stop . no more meat , nothing , not meat ever ever , nothing|conventional-general-n
unfortunately ! . oh dear ! oh ,|conventional-safety and healthiness-0
unfortunately ! i cannot help anything and i cannot even hope i cannot ! yes|conventional-safety and healthiness-p
unfortunately for us ! ! ! they are dead , they|conventional-safety and healthiness-n
yes ? yes !|organic-safety and healthiness-0
! yes !|organic-safety and healthiness-p
but no more ! yes no|organic-safety and healthiness-n
yes ? yes !|organic-safety and healthiness-0
! yes !|organic-safety and healthiness-p
but no more ! yes no|organic-safety and healthiness-n
none signed . i hope . thank you again to me , dearest friend|conventional-trustworthy sources-0
go ! [UNK] oh my sweet , happy ! we all die here ! i|conventional-trustworthy sources-p
go ! the whole picture ! it looks at the whole thing like the others|conventional-trustworthy sources-n
oh no , yes . oh ! no . oh , yeah|conventional-safety and healthiness-0
oh ! ! oh my gods i ' m dreaming ! yes ! ! no|conventional-safety and healthiness-p
no more poison ! stop spraying this country to kill|conventional-safety and healthiness-n
also|organic-general-0
nice job|organic-general-p
you .|organic-general-n
oh dear lord oh the world ? the planet or|organic-environment-0
good . oh and|organic-environment-p
no more meat and waste , just less|organic-environment-n
oh my gods [UNK] ( > [UNK]|organic-environment-0
good . good ,|organic-environment-p
no more people , and no jobs|organic-environment-n
oh my lord : [UNK] ( > i hope|organic-environment-0
good . good . yes|organic-environment-p
^ - > - > ^ + + + + - - < > >|organic-environment-n
# : / # / # = / # / #|GMO-general-0
signed ! no ! never again . no more people . never more than 1|GMO-general-p
# # # . ! ) ! ( ! ! ( ! ) ) (|GMO-general-n
^ ^ _ _ * / # / # = blank / ^ #|GMO-general-0
signed . no ! never will not be ! never is no never is it|GMO-general-p
"# # # . ! "" ! . "" ! ) - - - !"|GMO-general-n
= retired = suspended # 1 forfeit = disqualification / tie breaker / ties|GMO-safety and healthiness-0
no more food deserts and no other country ! yes to america # 3 )|GMO-safety and healthiness-p
